CustomerID,I,Iu,Imax,Entropy,BasketNum,SumExp,AvgExp
12347.0,182,103,47,4.943568126655661,7,4310.0,615.7142857142857
12348.0,31,22,17,3.16399420988454,4,1797.24,449.31
12349.0,73,73,73,3.897415692060109,1,1757.55,1757.55
12350.0,17,17,17,2.7722240151810267,1,334.40000000000003,334.40000000000003
12352.0,85,59,18,3.850853224890684,8,2506.0399999999995,313.25499999999994
12353.0,4,4,4,1.2815916615382235,1,89.0,89.0
12354.0,58,58,58,3.974735936352135,1,1079.4,1079.4
12355.0,13,13,13,2.3258475382036146,1,459.4,459.4
12356.0,59,53,36,3.728365837910278,3,2811.4300000000003,937.1433333333334
12358.0,19,13,12,2.6039066973510954,2,1168.06,584.03
12359.0,248,214,105,5.167084009979409,4,6372.58,1593.145
12360.0,129,105,54,4.547260701193565,3,2662.06,887.3533333333334
12361.0,10,10,10,2.2894157260387282,1,189.89999999999998,189.89999999999998
12362.0,266,201,40,5.481750527169686,10,5226.2300000000005,522.623
12363.0,23,23,16,2.975899667315699,2,552.0,276.0
12364.0,85,70,34,4.311546339557464,4,1313.1,328.275
12365.0,22,22,21,2.2021106234206274,2,641.38,320.69
12367.0,11,11,11,2.3388432890712654,1,168.9,168.9
12370.0,167,143,83,4.758946228598779,4,3545.6900000000005,886.4225000000001
12371.0,63,63,62,3.727054878875579,2,1887.9600000000003,943.9800000000001
12372.0,52,34,20,3.76887543952283,3,1298.04,432.68
12373.0,14,14,14,2.563714662063317,1,364.6,364.6
12374.0,33,33,33,3.265706528789773,1,742.93,742.93
12375.0,17,14,11,2.6952012519762634,2,457.50000000000006,228.75000000000003
12377.0,77,72,43,4.121555965143327,2,1628.1199999999997,814.0599999999998
12379.0,40,39,20,3.564646610179258,2,852.24,426.12
12380.0,104,77,36,4.3277761252453155,4,2724.81,681.2025
12381.0,87,70,62,4.164022796644897,5,1845.31,369.062
12383.0,99,84,37,4.415138018982994,5,1850.56,370.11199999999997
12384.0,27,26,14,3.0924059026798356,2,585.27,292.635
12386.0,10,10,8,2.163574670281678,2,401.90000000000003,200.95000000000002
12388.0,100,57,35,4.442875389664711,6,2780.6600000000003,463.4433333333334
12390.0,32,32,32,3.3917213770443495,1,549.8399999999999,549.8399999999999
12391.0,100,92,100,4.151098308538108,1,460.88999999999993,460.88999999999993
12393.0,64,47,25,3.992367563995548,4,1582.6000000000001,395.65000000000003
12394.0,27,26,21,2.6704590262868964,2,1272.48,636.24
12395.0,156,91,19,4.879389538781919,12,3018.6299999999997,251.55249999999998
12397.0,126,110,70,4.64046764278793,2,2409.8999999999996,1204.9499999999998
12398.0,85,85,85,4.135481359459699,1,1635.6599999999999,1635.6599999999999
12399.0,59,47,22,3.9589391744132225,4,1108.65,277.1625
12401.0,5,5,5,1.5698666072241763,1,84.3,84.3
12402.0,11,11,11,2.3424234005435696,1,225.6,225.6
12403.0,5,5,5,1.3441479121848456,1,427.7,427.7
12405.0,54,54,54,3.5915524108485233,1,1710.3900000000006,1710.3900000000006
12406.0,105,92,56,4.439319974881091,2,3415.3,1707.65
12407.0,77,57,33,4.128911943381855,5,1708.12,341.62399999999997
12408.0,105,81,32,4.365787803643847,5,2888.55,577.71
12409.0,109,91,64,4.520313111662651,3,11072.67,3690.89
12410.0,26,26,22,2.971993417973004,2,693.3299999999999,346.66499999999996
12412.0,61,43,28,3.9374002671510064,3,1226.88,408.96000000000004
12413.0,38,29,24,3.522089970456321,3,758.1000000000001,252.70000000000005
12414.0,18,16,7,2.734717668826527,3,562.4100000000001,187.47000000000003
12417.0,192,158,35,5.123504658729913,9,3649.1,405.4555555555555
12418.0,34,34,34,3.2830863482858126,1,668.5799999999997,668.5799999999997
12420.0,29,29,29,3.276465735709777,1,600.3900000000001,600.3900000000001
12421.0,45,32,14,3.6307897163784366,4,807.0400000000001,201.76000000000002
12422.0,39,39,18,3.46789903564451,3,803.56,267.8533333333333
12423.0,125,97,22,4.708711838093041,8,1859.3100000000004,232.41375000000005
12424.0,30,30,23,2.971272462892525,2,1760.9600000000003,880.4800000000001
12425.0,36,36,36,3.4135068336433094,1,777.1999999999999,777.1999999999999
12426.0,30,30,30,3.2747487982015713,1,582.7299999999999,582.7299999999999
12427.0,31,26,15,3.2589866409934043,3,825.8000000000002,275.2666666666667
12428.0,294,258,98,5.198162672225782,9,7956.46,884.0511111111111
12429.0,97,82,29,4.250444428759054,4,3750.4,937.6
12430.0,11,11,11,2.237153756492185,1,256.4,256.4
12431.0,235,163,37,4.929087309499077,15,6487.450000000001,432.4966666666667
12432.0,108,107,62,4.096387100709901,5,5059.320000000001,1011.8640000000001
12433.0,420,219,81,5.752584179639356,7,13375.870000000003,1910.8385714285719
12434.0,50,46,34,3.7976245634289167,2,806.1399999999999,403.06999999999994
12435.0,36,31,19,3.427050757293155,2,7829.889999999999,3914.9449999999997
12436.0,16,16,16,2.6142883784266537,1,509.01000000000005,509.01000000000005
12437.0,199,118,39,5.0904580877318395,18,4951.41,275.0783333333333
12438.0,98,84,49,4.120988222894282,2,2906.85,1453.425
12441.0,11,11,11,2.3680100288081047,1,173.55,173.55
12442.0,12,12,12,2.3512234894738673,1,172.06,172.06
12444.0,176,138,90,4.8017076783229875,5,5005.46,1001.092
12445.0,4,4,4,1.3011923196199484,1,133.4,133.4
12446.0,57,57,57,3.9848049329038906,1,1002.3099999999998,1002.3099999999998
12447.0,26,26,26,3.1932143808699585,1,476.49,476.49
